triggerPath,dataset
HLT_DiMu4_Ele9_CaloIdL_TrackIdL_DZ_Mass3p8_v,MuonEG
HLT_DiMu9_Ele9_CaloIdL_TrackIdL_DZ_v,MuonEG
HLT_DoubleMu20_7_Mass0to30_Photon23_v,MuonEG
HLT_Mu12_DoublePhoton20_v,MuonEG
HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v,MuonEG
HLT_Mu17_Photon30_IsoCaloId_v,MuonEG
HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v,MuonEG
HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v,MuonEG
HLT_Mu27_Ele37_CaloIdL_MW_v,MuonEG
HLT_Mu37_Ele27_CaloIdL_MW_v,MuonEG
HLT_Mu38NoFiltersNoVtxDisplaced_Photon38_CaloIdL_v,MuonEG
HLT_Mu43NoFiltersNoVtxDisplaced_Photon43_CaloIdL_v,MuonEG
HLT_Mu43NoFiltersNoVtx_Photon43_CaloIdL_v,MuonEG
HLT_Mu43NoFiltersNoVtx_Photon43_CaloIdL_v,MuonEG
HLT_Mu8_DiEle12_CaloIdL_TrackIdL_DZ_v,MuonEG
HLT_Mu8_DiEle12_CaloIdL_TrackIdL_v,MuonEG
HLT_Mu8_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v,MuonEG
HLT_UncorrectedJetE60_NoBPTX3BX_v,NoBPTX
HLT_UncorrectedJetE70_NoBPTX3BX_v,NoBPTX
HLT_DoubleEle24_eta2p1_WPTight_Gsf_v,NotFound
HLT_DoubleIsoMu20_eta2p1_v,NotFound
HLT_HcalCalibration_v,NotFound
HLT_IsoMu24_eta2p1_MediumChargedIsoPFTau50_Trk30_eta2p1_1pr_v,NotFound
HLT_IsoMu24_eta2p1_MediumChargedIsoPFTauHPS35_Trk1_eta2p1_Reg_CrossL1_v,NotFound
HLT_IsoMu27_MET90_v,NotFound
HLT_L2Mu23NoVtx_2Cha_CosmicSeed_v,NotFound
HLT_L2Mu23NoVtx_2Cha_v,NotFound
HLT_IsoMu20_eta2p1_LooseChargedIsoPFTauHPS27_eta2p1_CrossL1_v,SingleMuon
HLT_IsoMu24_eta2p1_v,SingleMuon
HLT_IsoMu24_v,SingleMuon
HLT_IsoMu27_v,SingleMuon
HLT_IsoMu30_v,SingleMuon
HLT_Mu50_v,SingleMuon
HLT_Mu55_v,SingleMuon
HLT_OldMu100_v,SingleMuon
HLT_TkMu100_v,SingleMuon
HLT_DoubleMediumChargedIsoPFTauHPS35_Trk1_eta2p1_Reg_v,Tau
HLT_MediumChargedIsoPFTau180HighPtRelaxedIso_Trk50_eta2p1_1pr_v,Tau
HLT_MediumChargedIsoPFTau180HighPtRelaxedIso_Trk50_eta2p1_v,Tau
HLT_MediumChargedIsoPFTau200HighPtRelaxedIso_Trk50_eta2p1_v,Tau
HLT_MediumChargedIsoPFTau220HighPtRelaxedIso_Trk50_eta2p1_v,Tau
HLT_MediumChargedIsoPFTau50_Trk30_eta2p1_1pr_MET100_v,Tau
HLT_MediumChargedIsoPFTau50_Trk30_eta2p1_1pr_MET110_v,Tau
HLT_MediumChargedIsoPFTau50_Trk30_eta2p1_1pr_MET120_v,Tau
HLT_MediumChargedIsoPFTau50_Trk30_eta2p1_1pr_MET130_v,Tau
HLT_MediumChargedIsoPFTau50_Trk30_eta2p1_1pr_MET140_v,Tau
